<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.06.25	00:00:00.581	0.61144	0.61316			6
2024.06.25	00:00:01.463	0.61145				2
2024.06.25	00:00:10.424		0.61312			4
2024.06.25	00:00:18.112		0.61284			4
2024.06.25	00:00:23.857	0.61137				2
2024.06.25	00:05:11.093	0.61181	0.61328			6
2024.06.25	00:05:19.223	0.61179				2
2024.06.25	00:05:24.660	0.61192	0.61327			6
2024.06.25	00:05:25.029		0.61324			4
2024.06.25	00:05:26.456	0.61197				2
2024.06.25	00:05:30.748	0.61200	0.61319			6
2024.06.25	00:05:31.126		0.61317			4
2024.06.25	00:05:33.459	0.61204	0.61316			6
2024.06.25	00:05:37.748	0.61211	0.61309			6
2024.06.25	00:05:44.266	0.61216	0.61305			6
2024.06.25	00:05:55.024	0.61222	0.61299			6
2024.06.25	00:05:58.769	0.61223	0.61297			6
2024.06.25	00:06:01.077	0.61223				2
2024.06.25	00:06:05.753		0.61294			4
2024.06.25	00:06:31.014		0.61293			4
2024.06.25	00:06:45.733		0.61292			4
2024.06.25	00:07:00.406	0.61223	0.61291			6
2024.06.25	00:07:05.796		0.61290			4
2024.06.25	00:07:12.727		0.61289			4
2024.06.25	00:07:19.326		0.61288			4
2024.06.25	00:07:26.187		0.61294			4
2024.06.25	00:07:26.535		0.61290			4
2024.06.25	00:07:35.794		0.61289			4
2024.06.25	00:08:02.312	0.61223				2
2024.06.25	00:08:04.556	0.61224				2
2024.06.25	00:08:33.587		0.61287			4
2024.06.25	00:08:50.480	0.61225				2
2024.06.25	00:08:58.997	0.61224	0.61286			6
2024.06.25	00:09:11.033	0.61228	0.61339			6
2024.06.25	00:09:12.093	0.61226	0.61306			6
2024.06.25	00:09:12.418		0.61299			4
2024.06.25	00:09:16.949		0.61296			4
2024.06.25	00:09:17.559	0.61223	0.61295			6
2024.06.25	00:09:21.751	0.61225	0.61294			6
2024.06.25	00:09:22.112		0.61293			4
2024.06.25	00:09:23.933	0.61223	0.61290			6
2024.06.25	00:09:24.275		0.61289			4
2024.06.25	00:09:29.883	0.61226	0.61288			6
2024.06.25	00:09:32.610	0.61225				2
2024.06.25	00:09:46.451	0.61226				2
2024.06.25	00:09:49.775	0.61225				2
2024.06.25	00:09:58.030	0.61231	0.61283			6
2024.06.25	00:10:00.439	0.61225	0.61289			6
2024.06.25	00:10:03.076	0.61226	0.61290			6
2024.06.25	00:10:05.180	0.61233	0.61284			6
2024.06.25	00:10:05.704	0.61231	0.61282			6
2024.06.25	00:10:09.016	0.61225	0.61294			6
2024.06.25	00:10:10.420		0.61288			4
2024.06.25	00:10:14.139	0.61231	0.61282			6
2024.06.25	00:10:23.958		0.61283			4
2024.06.25	00:10:24.353	0.61230	0.61282			6
2024.06.25	00:10:34.260		0.61281			4
2024.06.25	00:11:05.742	0.61230				2
2024.06.25	00:11:08.729	0.61225	0.61285			6
2024.06.25	00:11:12.166	0.61230	0.61281			6
2024.06.25	00:11:32.639	0.61229	0.61280			6
2024.06.25	00:11:39.303		0.61281			4
2024.06.25	00:11:39.606	0.61230				2
2024.06.25	00:12:00.081	0.61230				2
2024.06.25	00:12:01.722	0.61229	0.61280			6
2024.06.25	00:12:09.301	0.61218	0.61284			6
2024.06.25	00:12:10.948	0.61225	0.61282			6
2024.06.25	00:12:11.267	0.61229	0.61280			6
2024.06.25	00:12:19.151	0.61226	0.61282			6
2024.06.25	00:12:27.723	0.61229	0.61280			6
2024.06.25	00:12:46.527	0.61222	0.61283			6
2024.06.25	00:12:50.513	0.61224	0.61288			6
2024.06.25	00:12:50.907		0.61291			4
2024.06.25	00:12:58.019	0.61225	0.61286			6
2024.06.25	00:12:58.381	0.61228				2
2024.06.25	00:13:00.394	0.61228				2
2024.06.25	00:13:10.368	0.61226				2
2024.06.25	00:13:13.803		0.61284			4
2024.06.25	00:13:14.158	0.61228				2
2024.06.25	00:13:14.973	0.61229				2
2024.06.25	00:13:16.839	0.61228				2
2024.06.25	00:13:19.799	0.61229	0.61282			6
2024.06.25	00:13:21.355	0.61228	0.61280			6
2024.06.25	00:13:21.662	0.61229				2
2024.06.25	00:13:26.581	0.61230				2
2024.06.25	00:13:32.572	0.61229				2
2024.06.25	00:13:54.606	0.61237	0.61284			6
2024.06.25	00:14:00.789	0.61237	0.61285			6
2024.06.25	00:14:04.722		0.61282			4
2024.06.25	00:14:21.372		0.61281			4
2024.06.25	00:14:53.375		0.61282			4
2024.06.25	00:15:00.412	0.61237	0.61285			6
2024.06.25	00:15:03.389		0.61282			4
2024.06.25	00:15:03.759		0.61285			4
